City,Country,Date,Medium,Page,Region,Section,Section (group),Exits,Goal Conversion Rate,Number of Records,Pageviews,Pageviews per Visitor,Time on Page,Time on Page per Visitor,Total Downloads,Unique Visitors,Visits
Bangalore,India,11/15/2014,(none),/gallery,Asia,Examples,Case Studies,60,0.004,1,102,1.7,2730,45.5,1.056,60,264
Singapore,Singapore,11/15/2014,(none),/gallery/mobile-os-market-share,Asia,Examples,Case Studies,200,0.0021,1,210,1.05,32600,163,1.029,200,490
Singapore,Singapore,11/15/2014,(none),/gallery/tech-ipos-finish-year-strong,Asia,Examples,Case Studies,100,0.0027,1,460,4.6,16120,161.2,0.675,100,250
Bangalore,India,11/15/2014,organic,/gallery/spend-or-not-spend,Asia,Examples,Case Studies,60,0.0022,1,210,3.5,6900,115,0.3564,60,162
Chennai,India,11/15/2014,organic,/gallery/us-population-race,Asia,Examples,Case Studies,60,0.0026,1,198,3.3,6480,108,0.9204,60,354
Hong Kong,Hong Kong,11/15/2014,cpc,/download,Asia,Register,Events/Training,0,0.0012,1,590,2.95,1880,9.4,0.588,200,490
Hong Kong,Hong Kong,11/15/2014,organic,/download,Asia,Register,Events/Training,100,0.0038,1,500,5,5040,50.4,1.368,100,360
Bangalore,India,11/15/2014,organic,/download,Asia,Register,Events/Training,0,0.0026,1,288,4.8,5280,88,0.7644,60,294
Nanjing,China,11/15/2014,referral,/download,Asia,Register,Events/Training,80,0.002,1,400,5,10560,132,0.4,80,200
Manila,Philippines,11/15/2014,referral,/download,Asia,Register,Events/Training,0,0.0024,1,330,2,21070,127.696969697,0.528,165,220
Seoul,South Korea,11/15/2014,referral,/download,Asia,Register,Events/Training,0,0.0015,1,120,2.142857143,9200,164.285714286,0.78,56,520
Ghaziabad,India,11/15/2014,organic,/examples,Asia,Training,Events/Training,0,0.027777778,1,204,3.4,948,15.8,6,60,216
Chu-Tung,Taiwan,11/15/2014,organic,/examples,Asia,Training,Events/Training,100,0.0036,1,310,3.1,590,5.9,2.088,100,580
Beijing,China,11/15/2014,(none),index.htm,Asia,User,User Generated,104,0.0016,1,296,2.846153846,65360,628.461538462,0.7808,104,488
Bangalore,India,11/15/2014,(none),index.htm,Asia,User,User Generated,42,0.0014,1,84,2,1806,43,0.4284,42,306
Hyderabad,India,11/15/2014,(none),index.htm,Asia,User,User Generated,60,0.001,1,108,1.8,56796,946.6,0.192,60,192
Kota,India,11/15/2014,(none),index.htm,Asia,User,User Generated,12,0.0039,1,48,4,1464,122,1.0062,12,258
Pune,India,11/15/2014,(none),index.htm,Asia,User,User Generated,18,0.0029,1,90,5,1116,62,0.5394,18,186
Kuala Lumpur,Malaysia,11/15/2014,(none),index.htm,Asia,User,User Generated,100,0.0027,1,620,2.952380952,141540,674,1.647,210,610
Singapore,Singapore,11/15/2014,(none),index.htm,Asia,User,User Generated,270,0.0032,1,1110,3.964285714,256480,916,2.656,280,830
Hong Kong,Hong Kong,11/15/2014,organic,/,Asia,User,User Generated,0,0.0023,1,120,1.2,1980,19.8,1.15,100,500
Bangalore,India,11/15/2014,organic,/,Asia,User,User Generated,120,0.014925373,1,882,3.675,17034,70.975,6,240,402
Chennai,India,11/15/2014,organic,/,Asia,User,User Generated,0,0.0037,1,180,3,828,13.8,0.9324,60,252
Noida,India,11/15/2014,organic,/how-it-works,Asia,User,User Generated,60,0.001,1,594,3.807692308,12948,83,0.378,156,378
Singapore,Singapore,11/15/2014,organic,/faq,Asia,User,User Generated,0,0.0019,1,230,2.3,66960,669.6,0.893,100,470
Chu-Nan,Taiwan,11/15/2014,organic,/,Asia,User,User Generated,100,0.0016,1,460,4.6,14200,142,0.416,100,260
Chungli,Taiwan,11/15/2014,organic,/knowledgebase/best-practices-designing-piecees-and-dashboards,Asia,User,User Generated,100,0.0014,1,260,2.166666667,18600,155,0.56,120,400
Beijing,China,11/15/2014,referral,/,Asia,User,User Generated,0,0.043478261,1,360,4.5,1816,22.7,8,80,184
Bangalore,India,11/15/2014,referral,/,Asia,User,User Generated,0,0.0017,1,252,4.2,1128,18.8,0.4896,60,288
Taoyuan,Taiwan,11/15/2014,referral,/,Asia,User,User Generated,200,0.004,1,690,3.45,29600,148,2.12,200,530
Bratislava,Slovakia,11/15/2014,(none),/gallery,Europe,Examples,Case Studies,590,0.0025,1,1820,3.084745763,206830,350.559322034,2.2,590,880
Guildford,United Kingdom,11/15/2014,(none),/gallery/chances-rainfall,Europe,Examples,Case Studies,40,0.0014,1,56,1.4,4320,108,0.2408,40,172
